"unitid","lon","lat"
182892,-72.320267,42.94865
245865,-72.293798,42.932344
183062,-72.281433,42.925999
182795,-72.057875,42.782305
182810,-72.01034,42.749835
182670,-72.289951,43.70408
440004,-72.230822,43.637595
182908,-72.252839,43.642638
182999,-72.305714,43.644134
183202,-70.759945,43.075818
182944,-70.88787,43.190984
183044,-70.934512,43.134235
182722,-70.904579,43.260875
183132,-70.90192,43.015756
161457,-70.385882,43.458172
445513,-70.72552,44.059192
442213,-70.714191,44.053323
161004,-69.965165,43.906969
161208,-70.503498,43.380523
433970,-70.706341,43.402074
161518,-70.483486,43.82651
420440,-70.590835,43.306823
161493,-70.258154,43.667885
161378,-70.261358,43.654789
161509,-70.26195,43.653672
161527,-70.322405,43.674757
161554,-70.276002,43.662637
160940,-70.2903,43.685882
161545,-70.228098,43.647335
445629,-70.27272,43.631549
161077,-70.235498,44.134346
161022,-70.217692,44.100474
160977,-70.203333,44.105299
161059,-70.217766,44.100751
417576,-70.239485,44.197009
161217,-69.796396,44.337746
160968,-68.78952,44.81777
161138,-68.74445,44.826048
373827,-68.789883,44.827204
160995,-68.780752,44.785249
161165,-68.791323,44.828888
161299,-68.803214,44.3873
161253,-68.673839,44.895966
160959,-68.228849,44.399584
161581,-67.243306,45.165537
161244,-67.456534,44.709895
161235,-68.588364,47.250306
161341,-68.016516,46.672377
161484,-68.034796,46.694668
161563,-69.662923,44.524046
161086,-69.66337,44.564211
161192,-69.611609,44.594292
161226,-70.147469,44.668
161572,-69.332276,44.603165
231165,-72.605179,43.939321
231147,-72.52207,43.821797
230816,-73.237498,42.92004
231086,-73.21866,42.867031
440411,-72.55636,42.850323
231068,-72.56738,42.891035
230940,-72.736552,42.839603
247649,-72.512549,42.977172
444459,-73.22126,44.484038
230825,-73.228181,44.49117
230852,-73.204354,44.47295
231004,-73.210065,44.433754
231174,-73.198128,44.479262
231059,-73.163136,44.494212
382027,-73.09376,44.501991
250832,-73.102925,44.448049
231192,-72.59686,44.265633
230977,-72.55937,44.261202
230913,-72.671154,44.641736
230995,-72.660129,44.139402
230889,-72.437252,44.27912
230861,-72.77081,44.348486
431804,-72.96325,43.617302
231077,-73.007033,43.599777
230834,-73.181486,43.607982
230959,-73.176068,44.009117
230898,-73.241107,43.517134
231095,-72.382372,44.65225
230931,-72.024563,44.53433
243762,-72.718832,41.791776
410788,-72.83032,41.725195
130606,-72.87754,41.705498
129695,-72.718832,41.791776
128771,-72.770094,41.690258
129923,-72.754498,41.659236
128780,-72.767972,41.688246
129932,-72.451739,41.978355
128577,-72.570177,41.998409
129181,-72.66654,41.857303
430096,-72.702363,41.878055
130040,-73.059291,41.920982
129367,-72.672734,41.768397
129446,-72.692448,41.769818
130590,-72.688684,41.746746
128957,-72.642363,41.771184
436562,-72.641299,41.773354
129154,-72.62313,41.778316
129482,-72.725762,41.727016
128896,-72.710705,41.685072
129525,-72.714965,41.796485
130314,-72.730489,41.783028
129428,-72.673916,41.773462
369792,-72.225996,41.71754
129215,-72.218753,41.721673
130217,-71.889673,41.82623
129020,-72.249519,41.808205
128902,-72.107321,41.379833
129774,-72.095337,41.328075
129969,-72.100514,41.349947
436827,-72.063935,41.317231
443483,-72.042638,41.347074
129808,-72.103039,41.509945
129686,-72.329397,41.322826
129002,-72.854898,41.277311
128674,-72.848201,41.278557
438036,-72.705627,41.610644
129534,-72.647853,41.60682
130129,-72.763231,41.524385
129756,-72.611838,41.539516
130697,-72.656755,41.55678
129880,-73.0554,41.21953
129349,-72.85745,41.394495
128683,-72.920217,41.632345
434520,-72.877922,41.602304
130785,-72.935579,41.304214
130396,-72.925882,41.288491
128498,-72.923848,41.332519
445489,-72.92798,41.317197
130509,-72.932221,41.349259
439039,-72.916091,41.383403
130110,-72.935048,41.347714
130493,-72.948806,41.331852
129941,-72.961472,41.291314
130226,-72.895542,41.419527
130794,-72.926688,41.311158
129640,-73.188576,41.178228
129543,-73.191003,41.175228
128744,-73.189352,41.165587
128762,-73.221594,41.176845
130448,-73.201106,41.201198
128726,-73.165185,41.189413
130174,-73.149023,41.169646
436818,-73.03881,41.554736
413778,-72.98033,41.54509
415057,-73.035893,41.549618
129729,-73.071209,41.549564
365569,-72.9558,41.555644
130183,-73.080525,41.535334
130776,-73.444264,41.400365
128540,-73.451841,41.39648
129242,-73.25778,41.160732
130253,-73.24461,41.221548
130004,-73.450965,41.102574
129613,-73.39918,41.100496
407054,-73.367835,41.133507
128586,-73.53903,41.051996
436836,-73.542747,41.05587
368230,-74.198658,40.795445
