state,county,pclon00,pclat00
04,017,-110.22444,34.977183
04,019,-110.96034,32.225677
04,021,-111.506,33.042961
04,023,-110.93798,31.422354
04,025,-112.25884,34.62493
04,027,-114.59044,32.663265
05,001,-91.459196,34.40301
05,003,-91.866194,33.177045
05,005,-92.382632,36.332991
05,007,-94.228754,36.337502
05,009,-93.098603,36.263928
05,011,-92.104368,33.562711
05,013,-92.489603,33.590853
05,015,-93.568801,36.372427
05,017,-91.322099,33.324721
05,019,-93.121952,34.089618
05,021,-90.381036,36.371498
05,023,-92.038432,35.512308
05,025,-92.146001,33.913456
05,027,-93.24561,33.259054
05,029,-92.706081,35.21191
05,031,-90.665157,35.834606
05,033,-94.282906,35.496842
05,035,-90.221065,35.177923
05,037,-90.770807,35.256341
05,039,-92.525697,33.869653
05,041,-91.412646,33.774625
05,043,-91.778361,33.628245
05,045,-92.403053,35.104972
05,047,-93.889674,35.441909
05,049,-91.756597,36.379308
05,051,-93.07985,34.50804
05,053,-92.412275,34.307144
05,055,-90.522811,36.076562
05,057,-93.624328,33.700517
05,059,-92.890833,34.354001
05,061,-93.912183,33.981031
05,063,-91.609343,35.748
05,065,-91.908597,36.123787
05,067,-91.242807,35.621544
05,069,-92.035952,34.231899
05,071,-93.475226,35.475522
05,073,-93.550847,33.294097
05,075,-91.062072,36.068145
05,077,-90.772871,34.785481
05,079,-91.755165,33.982624
05,081,-94.197333,33.698967
05,083,-93.769652,35.227283
05,085,-91.962568,34.882218
05,087,-93.754229,36.052002
05,089,-92.664406,36.282392
05,091,-93.986739,33.399824
05,093,-89.994573,35.840346
05,095,-91.216396,34.773206
05,097,-93.625655,34.518934
05,099,-93.353947,33.718145
05,101,-93.175948,35.980112
05,103,-92.839362,33.574107
05,105,-92.785359,34.998654
05,107,-90.709707,34.522919
05,109,-93.623754,34.179409
05,111,-90.556826,35.598208
05,113,-94.260312,34.518213
05,115,-93.095177,35.311631
05,117,-91.532857,34.856543
05,119,-92.303666,34.772275
05,121,-90.985782,36.305243
05,123,-90.765196,35.015001
05,125,-92.543326,34.591205
05,127,-94.0929,34.904893
05,129,-92.659811,35.919717
05,131,-94.356789,35.320594
05,133,-94.29901,34.012161
05,135,-91.520638,36.176192
05,137,-92.141827,35.857996
05,139,-92.643279,33.206069
05,141,-92.419834,35.570187
05,143,-94.173184,36.088391
